id,title,number,tarot_card_image,astrological,alchemical,intelligence,hebrew_letter,letter_meaning,description,galileo_content,f_loss_content,st_paul_content,f_loss_bullets,galileo_bullets,st_paul_bullets,description_bullets,slashdot_position,watchtower_position,tarot_card_thumbnail
1,The Emperor,4,https://i.imgur.com/vUQVQhv.jpg,Aries,mollis,lacus,dui.,"ut,","He has a form of the Crux ansata for his sceptre and a globe in his left hand. He is a crowned monarch--commanding, stately, seated on a throne, the arms of which axe fronted by rams' heads. He is executive and realization, the power of this world, here clothed with the highest of its natural attributes. He is occasionally represented as seated on a cubic stone, which, however, confuses some of the issues. He is the virile power, to which the Empress responds, and in this sense is he who seeks to remove the Veil of Isis; yet she remains virgo intacta.It should be understood that this card and that of the Empress do not precisely represent the condition of married life, though this state is implied. On the surface, as I have indicated, they stand for mundane royalty, uplifted on the seats of the mighty; but above this there is the suggestion of another presence. They signify also--and the male figure especially--the higher kingship, occupying the intellectual throne. Hereof is the lordship of thought rather than of the animal world. Both personalities, after their own manner, are ""full of strange experience,"" but theirs is not consciously the wisdom which draws from a higher world. The Emperor has been described as (a) will in its embodied form, but this is only one of its applications, and (b) as an expression of virtualities contained in the Absolute Being--but this is fantasy.","Lectus, eget mattis justo, felis. mollis magna. Phasellus eu dui. magna Sed. Lacus fringilla sed mollis mollis justo,. Magna mollis facilisis fringilla magna Sed.","Sed lectus, vitae sed dui.. Aliquam ut, vitae mollis. Facilisis fringilla lectus, magna fringilla ut, lacus. Ut, felis. ut, ut, lacus. Vitae. eget Phasellus felis. mollis. Magna vitae vitae. lectus,. Vitae. justo, felis. vitae..","Felis. laoreet justo, lorem fringilla eu. Dui. dui. laoreet egestas, vitae. mollis. Phasellus lacus magna eget mollis egestas,. Felis. mattis facilisis fringilla vitae. Laoreet Phasellus magna vitae. Sed Phasellus dui.. Laoreet lacus justo, fringilla Sed lacus.","Egestas, mollis lacus.
Magna vitae. facilisis.
Lacus Aliquam eget.
Felis. magna fringilla.
Lacus lectus, eu.
Justo, lorem facilisis.","Dui. felis. justo,.
Justo, dui. Aliquam.
Malesuada mattis facilisis.
Eu justo, fringilla.
Mattis lacus lorem.
Laoreet facilisis justo,.","Magna laoreet malesuada.
Facilisis justo, lectus,.
Fringilla mollis Aliquam.
Phasellus lacus facilisis.
Mattis malesuada eu.
Aliquam magna dui..","Mollis felis. lorem.
Justo, magna dui..
Mattis eget malesuada.
Sed mattis malesuada.
Vitae ut, felis..
Dui. mollis ut,.",1,1,
2,The High Priestess,2,https://i.imgur.com/aIawfHM.jpg,Astrological Attribute,"ut,","justo,",mollis,mollis,"She has the lunar crescent at her feet, a horned diadem on her head, with a globe in the middle place, and a large solar cross on her breast. The scroll in her hands is inscribed with the word Tora, signifying the Greater Law, the Secret Law and the second sense of the Word. It is partly covered by her mantle, to shew that some things are implied and some spoken. She is seated between the white and black pillars--J. and B.--of the mystic Temple, and the veil of the Temple is behind her: it is embroidered with palms and pomegranates. The vestments are flowing and gauzy, and the mantle suggests light--a shimmering radiance. She has been called occult Science on the threshold of the Sanctuary of Isis, but she is really the Secret Church, the House which is of God and man. She represents also the Second Marriage of the Prince who is no longer of this world; she is the spiritual Bride and Mother, the daughter of the stars and the Higher Garden of Eden. She is, in fine, the Queen of the borrowed light, but this is the light of all. She is the Moon nourished by the milk of the Supernal Mother.In a manner, she is also the Supernal Mother herself--that is to say, she is the bright reflection. It is in this sense of reflection that her truest and highest name in bolism is Shekinah--the co-habiting glory. According to Kabalism, there is a Shekinah both above and below. In the superior world it is called Binah, the Supernal Understanding which reflects to the emanations that are beneath. In the lower world it is MaIkuth--that world being, for this purpose, understood as a blessed Kingdom that with which it is made blessed being the Indwelling Glory. Mystically speaking, the Shekinah is the Spiritual Bride of the just man, and when he reads the Law she gives the Divine meaning. There are some respects in which this card is the highest and holiest of the Greater Arcana.","Laoreet magna ut, fringilla lectus, egestas,. Laoreet mollis laoreet fringilla. Felis. mollis ut, lectus, egestas, Sed eget lectus,. Justo, ut, fringilla ut, vitae. Magna eu lectus, eget lacus eget lacus.","Mattis facilisis mattis mattis. Aliquam Sed eget Phasellus vitae. Lacus felis. mattis. Aliquam felis. eget ut, ut, mollis Aliquam eu.","Eu eu egestas, fringilla felis. facilisis. Vitae. vitae mollis facilisis dui. mattis sed. Mollis eu lacus eu lacus. Fringilla lorem Phasellus Aliquam felis. Sed magna. Lacus lacus fringilla eu. Fringilla fringilla magna fringilla. Sed fringilla Phasellus lacus malesuada. Eu sed justo, fringilla.","Laoreet ut, felis..
Vitae magna ut,.
Magna mollis lacus.
Magna vitae. Sed.
Felis. sed dui..
Sed ut, eget.","Lectus, facilisis lectus,.
Dui. lorem egestas,.
Eget egestas, lorem.
Dui. felis. mollis.
Eget vitae felis..
Facilisis fringilla lacus.","Fringilla lectus, sed.
Eget vitae. mattis.
Eu lacus lectus,.
Lorem vitae. lacus.
Eget lectus, Phasellus.
Justo, eget mollis.","Lectus, felis. eget.
Aliquam ut, malesuada.
Felis. vitae malesuada.
Eget laoreet lorem.
Dui. sed egestas,.
Lacus magna fringilla.",1,1,
3,The Lovers,6,https://ibb.co/d6Rsk2G,Gemini,eget,dui.,dui.,facilisis,"The sun shines in the zenith, and beneath is a great winged figure with arms extended, pouring down influences. In the foreground are two human figures, male and female, unveiled before each other, as if Adam and Eve when they first occupied the paradise of the earthly body. Behind the man is the Tree of Life, bearing twelve fruits, and the Tree of the Knowledge of Good and Evil is behind the woman; the serpent is twining round it. The figures suggest youth, virginity, innocence and love before it is contaminated by gross material desire. This is in all simplicity the card of human love, here exhibited as part of the way, the truth and the life. It replaces, by recourse to first principles, the old card of marriage, which I have described previously, and the later follies which depicted man between vice and virtue. In a very high sense, the card is a mystery of the Covenant and Sabbath.The suggestion in respect of the woman is that she signifies that attraction towards the sensitive life which carries within it the idea of the Fall of Man, but she is rather the working of a Secret Law of Providence than a willing and conscious temptress. It is through her imputed lapse that man shall arise ultimately, and only by her can he complete himself. The card is therefore in its way another intimation concerning the great mystery of womanhood. The old meanings fall to pieces of necessity with the old pictures, but even as interpretations of the latter, some of them were of the order of commonplace and others were false in symbolism.","Lacus magna eu mattis. Vitae justo, felis. ut, fringilla fringilla. Felis. mollis egestas, felis. ut, facilisis eget Aliquam. Mattis eu mollis mattis Phasellus justo,. Justo, Phasellus vitae. laoreet justo,. Eget vitae. magna mollis. Lacus malesuada mattis eu lacus malesuada.","Laoreet fringilla vitae lacus egestas,. Vitae. lacus fringilla mollis. Lacus Phasellus eget ut, lacus sed. Malesuada facilisis facilisis laoreet vitae lorem felis. fringilla.","Mollis Sed vitae vitae lorem egestas, facilisis. Fringilla Sed justo, magna facilisis Aliquam. Fringilla magna vitae. eget malesuada dui. Sed. Sed vitae malesuada fringilla Phasellus mattis lacus. Mollis Sed ut,.","Lectus, fringilla eget.
Justo, lorem lacus.
Lacus egestas, Phasellus.
Vitae fringilla felis..
Facilisis ut, Sed.
Malesuada justo, mollis.","Malesuada vitae. Aliquam.
Laoreet ut, vitae.
Eget facilisis Aliquam.
Mollis magna justo,.
Felis. felis. sed.
Vitae. fringilla malesuada.","Lacus malesuada sed.
Eu Phasellus dui..
Lacus lectus, lacus.
Lectus, laoreet sed.
Fringilla fringilla mattis.
Mollis Sed vitae..","Phasellus vitae facilisis.
Magna magna Sed.
Dui. Aliquam vitae.
Facilisis Aliquam vitae.
Felis. lacus egestas,.
Vitae. Phasellus sed.",1,1,
4,The Moon,18,https://i.imgur.com/7afZTRZ.jpg,Pisces,fringilla,lacus,vitae,malesuada,"The distinction between this card and some of the conventional types is that the moon is increasing on what is called the side of mercy, to the right of the observer. It has sixteen chief and sixteen secondary rays. The card represents life of the imagination apart from life of the spirit. The path between the towers is the issue into the unknown. The dog and wolf are the fears of the natural mind in the presence of that place of exit, when there is only reflected light to guide it.The last reference is a key to another form of symbolism. The intellectual light is a reflection and beyond it is the unknown mystery which it cannot shew forth. It illuminates our animal nature, types of which are represented below--the dog, the wolf and that which comes up out of the deeps, the nameless and hideous tendency which is lower than the savage beast. It strives to attain manifestation, symbolized by crawling from the abyss of water to the land, but as a rule it sinks back whence it came. The face of the mind directs a calm gaze upon the unrest below; the dew of thought falls; the message is: Peace, be still; and it may be that there shall come a calm upon the animal nature, while the abyss beneath shall cease from giving up a form.","Felis. mattis justo, lacus fringilla. Lacus mollis lacus. Justo, egestas, laoreet mattis facilisis fringilla magna. Felis. lacus lectus, Phasellus ut, facilisis felis..","Mollis eget lorem Aliquam ut,. Dui. dui. sed eu sed. Felis. facilisis justo,. Egestas, lacus eget Phasellus lacus. Phasellus mollis lorem facilisis dui.. Mollis dui. vitae fringilla fringilla justo,.","Lacus eget Sed vitae. Sed justo,. Phasellus felis. eu fringilla lacus. Justo, lectus, sed malesuada. Lorem eu lacus egestas, egestas,. Laoreet sed Aliquam ut,.","Mollis lectus, lorem.
Ut, lorem vitae..
Vitae fringilla mattis.
Fringilla eu lorem.
Egestas, ut, laoreet.
Magna vitae fringilla.","Lacus mattis magna.
Phasellus malesuada fringilla.
Felis. eu sed.
Malesuada vitae fringilla.
Mollis sed fringilla.
Facilisis sed Sed.","Sed fringilla fringilla.
Malesuada laoreet laoreet.
Fringilla justo, eget.
Mollis facilisis vitae.
Sed vitae sed.
Sed fringilla Aliquam.","Eget malesuada lectus,.
Lacus fringilla sed.
Sed dui. felis..
Mollis lacus mollis.
Magna dui. lorem.
Mattis mattis lacus.",1,1,
5,The Star,17,https://ibb.co/s68bY1D,Aquarius,vitae,dui.,Aliquam,mollis,"A great, radiant star of eight rays, surrounded by seven lesser stars--also of eight rays. The female figure in the foreground is entirely naked. Her left knee is on the land and her right foot upon the water. She pours Water of Life from two great ewers, irrigating sea and land. Behind her is rising ground and on the right a shrub or tree, whereon a bird alights. The figure expresses eternal youth and beauty. The star is l'étoile flamboyante, which appears in Masonic symbolism, but has been confused therein. That which the figure communicates to the living scene is the substance of the heavens and the elements. It has been said truly that the mottoes of this card are ""Waters of Life freely"" and ""Gifts of the Spirit.""The summary of several tawdry explanations says that it is a card of hope. On other planes it has been certified as immortality and interior light. For the majority of prepared minds, the figure will appear as the type of Truth unveiled, glorious in undying beauty, pouring on the waters of the soul some part and measure of her priceless possession. But she is in reality the Great Mother in the Kabalistic Sephira Binah, which is supernal Understanding, who communicates to the Sephiroth that are below in the measure that they can receive her influx.","Sed justo, facilisis felis. eget mollis Aliquam. Phasellus justo, justo, Sed facilisis. Vitae lorem vitae malesuada. Aliquam eu vitae. egestas, vitae lacus felis..","Phasellus lacus egestas, Sed ut, facilisis eu. Felis. eu vitae. Lectus, fringilla vitae lacus dui..","Justo, vitae. Sed malesuada vitae. sed. Magna felis. magna fringilla fringilla malesuada. Egestas, laoreet ut, lectus,. Lorem Phasellus vitae. Vitae laoreet Sed dui. laoreet magna Sed. Justo, felis. vitae vitae vitae.. Sed mollis facilisis vitae. mollis.","Fringilla lacus lectus,.
Phasellus mattis Sed.
Dui. egestas, sed.
Vitae. fringilla felis..
Ut, egestas, lorem.
Felis. Phasellus felis..","Mattis vitae lacus.
Lorem lorem felis..
Fringilla fringilla vitae.
Lacus lorem Phasellus.
Sed vitae. lacus.
Lorem mollis fringilla.","Fringilla justo, magna.
Eget vitae fringilla.
Ut, laoreet ut,.
Fringilla fringilla eu.
Magna justo, eu.
Lacus Sed sed.","Malesuada egestas, justo,.
Mollis vitae ut,.
Vitae. vitae laoreet.
Sed felis. Aliquam.
Mollis lacus sed.
Mattis fringilla malesuada.",1,1,
5,The Tower,16,https://i.imgur.com/sBcB42X.jpg,Astrological,dui.,Sed,Phasellus,laoreet,"Occult explanations attached to this card are meagre and mostly disconcerting. It is idle to indicate that it depicts min in all its aspects, because it bears this evidence on the surface. It is said further that it contains the first allusion to a material building, but I do not conceive that the Tower is more or less material than the pillars which we have met with in three previous cases. I see nothing to warrant Papus in supposing that it is literally the fall of Adam, but there is more in favour of his alternative--that it signifies the materialization of the spiritual word. The bibliographer Christian imagines that it is the downfall of the mind, seeking to penetrate the mystery of God. I agree rather with Grand Orient that it is the ruin of the House of We, when evil has prevailed therein, and above all that it is the rending of a House of Doctrine. I understand that the reference is, however, to a House of Falsehood. It illustrates also in the most comprehensive way the old truth that ""except the Lord build the house, they labour in vain that build it.""There is a sense in which the catastrophe is a reflection from the previous card, but not on the side of the symbolism which I have tried to indicate therein. It is more correctly a question of analogy; one is concerned with the fall into the material and animal state, while the other signifies destruction on the intellectual side. The Tower has been spoken of as the chastisement of pride and the intellect overwhelmed in the attempt to penetrate the Mystery of God; but in neither case do these explanations account for the two persons who are the living sufferers. The one is the literal word made void and the other its false interpretation. In yet a deeper sense, it may signify also the end of a dispensation, but there is no possibility here for the consideration of this involved question.","Justo, lectus, vitae. fringilla Phasellus. Mollis Sed Sed. Laoreet lorem Sed laoreet justo,. Egestas, mollis vitae. Lectus, fringilla Sed egestas,. Aliquam egestas, vitae. Lacus lacus vitae. vitae. malesuada eu felis. egestas,. Vitae. eu Phasellus vitae egestas, Aliquam.","Ut, facilisis fringilla eu facilisis lacus vitae.. Facilisis justo, sed lectus, fringilla. Aliquam facilisis eget lectus,. Fringilla egestas, dui. eu facilisis mattis felis.. Egestas, mollis lacus laoreet lacus ut, egestas,. Vitae. felis. lacus malesuada. Egestas, dui. vitae. laoreet.","Fringilla Phasellus vitae lorem mollis lacus. Egestas, egestas, malesuada lorem fringilla Sed Phasellus. Lacus vitae lectus, sed Aliquam mollis.","Vitae lacus felis..
Felis. egestas, Sed.
Malesuada Sed lorem.
Magna dui. malesuada.
Aliquam laoreet dui..
Laoreet fringilla vitae..","Egestas, lacus vitae.
Vitae eu laoreet.
Fringilla vitae. lorem.
Laoreet lacus fringilla.
Fringilla malesuada justo,.
Phasellus Phasellus justo,.","Laoreet laoreet sed.
Malesuada Sed justo,.
Sed fringilla magna.
Dui. lacus fringilla.
Eu dui. Sed.
Magna Aliquam malesuada.","Lacus eu fringilla.
Eu mollis fringilla.
Vitae sed mattis.
Sed magna sed.
Aliquam malesuada Aliquam.
Ut, ut, Aliquam.",1,1,
6,Hierophant,5,https://i.imgur.com/sBcB42X.jpg,Taurus,eu,lorem,Aliquam,"lectus,","He wears the triple crown and is seated between two pillars, but they are not those of the Temple which is guarded by the High Priestess. In his left hand he holds a sceptre terminating in the triple cross, and with his right hand he gives the well-known ecclesiastical sign which is called that of esotericism, distinguishing between the manifest and concealed part of doctrine. It is noticeable in this connexion that the High Priestess makes no sign. At his feet are the crossed keys, and two priestly ministers in albs kneel before him. He has been usually called the Pope, which is a particular application of the more general office that he symbolizes. He is the ruling power of external religion, as the High Priestess is the prevailing genius of the esoteric, withdrawn power. The proper meanings of this card have suffered woeful admixture from nearly all hands. Grand Orient says truly that the Hierophant is the power of the keys, exoteric orthodox doctrine, and the outer side of the life which leads to the doctrine; but he is certainly not the prince of occult doctrine, as another commentator has suggested.He is rather the summa totius theologiæ, when it has passed into the utmost rigidity of expression; but he symbolizes also all things that are righteous and sacred on the manifest side. As such, he is the channel of grace belonging to the world of institution as distinct from that of Nature, and he is the leader of salvation for the human race at large. He is the order and the head of the recognized hierarchy, which is the reflection of another and greater hierarchic order; but it may so happen that the pontiff forgets the significance of this his symbolic state and acts as if he contained within his proper measures all that his sign signifies or his symbol seeks to shew forth. He is not, as it has been thought, philosophy-except on the theological side; he is not inspiration; and he is not religion, although he is a mode of its expression.","Aliquam lacus lorem lacus malesuada. Aliquam egestas, lacus facilisis mollis. Sed felis. Phasellus Phasellus. Justo, fringilla ut, vitae. Phasellus.","Facilisis fringilla fringilla magna vitae. laoreet. Aliquam Phasellus vitae vitae. Sed justo, Phasellus ut, dui.. Mollis Aliquam ut, Phasellus vitae. Phasellus dui.. Eu mattis mattis fringilla. Phasellus facilisis Sed Sed fringilla lectus,. Fringilla eget lectus,.","Vitae lacus lacus magna felis. magna. Mollis malesuada egestas, facilisis Aliquam vitae.. Vitae. eget laoreet. Malesuada dui. fringilla facilisis mollis.","Magna Phasellus facilisis.
Ut, justo, mollis.
Lectus, eu ut,.
Egestas, sed mollis.
Magna vitae. facilisis.
Justo, Phasellus Aliquam.","Dui. fringilla Aliquam.
Dui. Phasellus lacus.
Felis. lacus ut,.
Fringilla ut, Sed.
Egestas, Sed vitae..
Felis. justo, felis..","Phasellus malesuada Phasellus.
Fringilla justo, malesuada.
Facilisis Phasellus lorem.
Magna mollis eget.
Magna fringilla lectus,.
Phasellus mattis lacus.","Lacus Aliquam vitae.
Lacus lacus lacus.
Justo, justo, magna.
Sed eu Aliquam.
Sed fringilla vitae.
Lacus Aliquam facilisis.",1,1,
7,Justice,11,https://i.imgur.com/5ao6mMQ.jpg,Libra,felis.,"justo,",Aliquam,lorem,"As this card follows the traditional symbolism and carries above all its obvious meanings, there is little to say regarding it outside the few considerations collected in the first part, to which the reader is referred.It will be seen, however, that the figure is seated between pillars, like the High Priestess, and on this account it seems desirable to indicate that the moral principle which deals unto every man according to his works--while, of course, it is in strict analogy with higher things;--differs in its essence from the spiritual justice which is involved in the idea of election. The latter belongs to a mysterious order of Providence, in virtue of which it is possible for certain men to conceive the idea of dedication to the highest things. The operation of this is like the breathing of the Spirit where it wills, and we have no canon of criticism or ground of explanation concerning it. It is analogous to the possession of the fairy gifts and the high gifts and the gracious gifts of the poet: we have them or have not, and their presence is as much a mystery as their absence. The law of Justice is not however involved by either alternative. In conclusion, the pillars of Justice open into one world and the pillars of the High Priestess into another.","Lacus laoreet felis. laoreet laoreet mattis mattis. Lorem magna mollis malesuada laoreet vitae. mattis mattis. Lacus magna magna sed. Eget vitae. facilisis malesuada. Malesuada Aliquam sed lacus. Egestas, eget vitae fringilla eu fringilla fringilla. Mollis facilisis felis. sed ut, fringilla felis. lorem.","Magna felis. vitae.. Ut, dui. Aliquam Sed lacus egestas, mollis. Phasellus malesuada eget malesuada.","Egestas, lacus fringilla egestas, justo, felis. malesuada. Laoreet Sed fringilla fringilla vitae. Eget lacus Phasellus Phasellus sed felis.. Fringilla lectus, facilisis vitae Phasellus sed.","Sed lectus, dui..
Felis. eu eu.
Lectus, fringilla magna.
Eget fringilla laoreet.
Justo, egestas, lacus.
Malesuada felis. Phasellus.","Fringilla Aliquam felis..
Felis. vitae. lacus.
Facilisis facilisis mattis.
Eu mollis lorem.
Lacus lectus, fringilla.
Egestas, Sed justo,.","Facilisis lacus laoreet.
Lacus dui. ut,.
Laoreet sed egestas,.
Fringilla eget justo,.
Phasellus sed lectus,.
Fringilla eget magna.","Felis. malesuada lacus.
Egestas, mollis ut,.
Lacus ut, eu.
Eget mollis vitae..
Lectus, vitae malesuada.
Egestas, vitae. vitae..",1,1,
8,The Magician,1,https://i.imgur.com/q7hAW5J.jpg,Imperdiet,"ut,",magna,felis.,mollis,"A youthful figure in the robe of a magician, having the countenance of divine Apollo, with smile of confidence and shining eyes. Above his head is the mysterious sign of the Holy Spirit, the sign of life, like an endless cord, forming the figure 8 in a horizontal position . About his waist is a serpent-cincture, the serpent appearing to devour its own tail. This is familiar to most as a conventional symbol of eternity, but here it indicates more especially the eternity of attainment in the spirit. In the Magician's right hand is a wand raised towards heaven, while the left hand is pointing to the earth. This dual sign is known in very high grades of the Instituted Mysteries; it shews the descent of grace, virtue and light, drawn from things above and derived to things below. The suggestion throughout is therefore the possession and communication of the Powers and Gifts of the Spirit. On the table in front of the Magician are the symbols of the four Tarot suits, signifying the elements of natural life, which lie like counters before the adept, and he adapts them as he wills. Beneath are roses and lilies, the flos campi and lilium convallium, changed into garden flowers, to shew the culture of aspiration. This card signifies the divine motive in man, reflecting God, the will in the liberation of its union with that which is above. It is also the unity of individual being on all planes, and in a very high sense it is thought, in the fixation thereof. With further reference to what I have called the sign of life and its connexion with the number 8, it may be remembered that Christian Gnosticism speaks of rebirth in Christ as a change ""unto the Ogdoad."" The mystic number is termed Jerusalem above, the Land flowing with Milk and Honey, the Holy Spirit and the Land of the Lord. According to Martinism, 8 is the number of Christ.","Lacus sed lacus sed lacus felis.. Felis. vitae. mattis eget dui. vitae Phasellus. Facilisis laoreet justo, mollis. Ut, lorem felis. Aliquam vitae. ut, dui. dui.. Lorem lacus fringilla Aliquam vitae felis. lorem.","Lacus lacus felis. Sed magna ut, egestas,. Justo, fringilla Sed mattis magna lacus malesuada. Fringilla felis. eu. Sed facilisis Aliquam Aliquam Phasellus vitae.","Laoreet felis. malesuada facilisis justo,. Aliquam eu Phasellus Sed mattis sed justo, felis.. Lorem eu magna. Lacus egestas, lorem vitae lectus, facilisis. Fringilla felis. dui. eu lacus eu Aliquam. Dui. justo, fringilla lectus, laoreet Phasellus mollis lacus.","Phasellus malesuada mollis.
Laoreet dui. vitae..
Mattis malesuada mollis.
Phasellus egestas, sed.
Vitae magna fringilla.
Lectus, felis. eu.","Phasellus malesuada egestas,.
Facilisis fringilla eu.
Mollis Phasellus felis..
Felis. sed Aliquam.
Fringilla magna mollis.
Lorem eu Phasellus.","Dui. lacus Phasellus.
Eu lacus facilisis.
Sed eu malesuada.
Lacus vitae. mollis.
Egestas, mattis magna.
Lacus Phasellus felis..","Fringilla justo, felis..
Eu dui. Aliquam.
Sed lorem laoreet.
Fringilla Aliquam lacus.
Mattis magna ut,.
Eu dui. facilisis.",1,1,
9,The Fool,0,https://ibb.co/T8jNzxs,lacus,fringilla,malesuada,facilisis,facilisis,"With light step, as if earth and its trammels had little power to restrain him, a young man in gorgeous vestments pauses at the brink of a precipice among the great heights of the world; he surveys the blue distance before him-its expanse of sky rather than the prospect below. His act of eager walking is still indicated, though he is stationary at the given moment; his dog is still bounding. The edge which opens on the depth has no terror; it is as if angels were waiting to uphold him, if it came about that he leaped from the height. His countenance is full of intelligence and expectant dream. He has a rose in one hand and in the other a costly wand, from which depends over his right shoulder a wallet curiously embroidered. He is a prince of the other world on his travels through this one-all amidst the morning glory, in the keen air. The sun, which shines behind him, knows whence he came, whither he is going, and how he will return by another path after many days. He is the spirit in search of experience. Many symbols of the Instituted Mysteries are summarized in this card, which reverses, under high warrants, all the confusions that have preceded it.In his Manual of Cartomancy, Grand Orient has a curious suggestion of the office of Mystic Fool, as apart of his process in higher divination; but it might call for more than ordinary gifts to put it into operation. We shall see how the card fares according to the common arts of fortune-telling, and it will be an example, to those who can discern, of the fact, otherwise so evident, that the Trumps Major had no place originally in the arts of psychic gambling, when cards are used as the counters and pretexts. Of the circumstances under which this art arose we know, however, very little. The conventional explanations say that the Fool signifies the flesh, the sensitive life, and by a peculiar satire its subsidiary name was at one time the alchemist, as depicting folly at the most insensate stage.","Vitae. egestas, justo, lorem. Justo, vitae. vitae felis.. Felis. sed Aliquam. Fringilla vitae. facilisis Aliquam lacus fringilla.","Eget lacus mollis malesuada Phasellus. Malesuada fringilla mollis facilisis malesuada lorem vitae malesuada. Lorem egestas, Aliquam lacus malesuada. Malesuada laoreet fringilla justo, magna malesuada felis.. Laoreet eget dui. lacus egestas,.","Vitae. malesuada laoreet vitae mollis. Mattis felis. mattis Aliquam justo, magna. Sed magna lacus lorem. Lectus, Aliquam lectus, dui. magna justo, justo,. Lacus facilisis mattis vitae. Phasellus. Ut, facilisis laoreet. Egestas, dui. Aliquam eget lacus laoreet.","Eget eget lacus.
Lectus, Sed magna.
Mattis lacus egestas,.
Fringilla eu sed.
Sed mattis facilisis.
Fringilla sed justo,.","Aliquam Phasellus mollis.
Laoreet laoreet vitae.
Ut, dui. eu.
Vitae vitae. Phasellus.
Malesuada lacus eget.
Eu laoreet facilisis.","Sed lorem lacus.
Lectus, sed ut,.
Justo, magna fringilla.
Dui. laoreet lectus,.
Malesuada sed lacus.
Lorem fringilla vitae..","Eu malesuada facilisis.
Fringilla sed mattis.
Facilisis mattis Aliquam.
Fringilla fringilla egestas,.
Egestas, facilisis justo,.
Fringilla eu facilisis.",1,1,
